"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","25,178.65","25,333.75","26,341.20","24,571.75","8.18B","-0.56%"
"01/01/2026","25,320.65","26,173.30","26,373.20","24,919.80","8.38B","-3.10%"
"12/01/2025","26,129.60","26,325.80","26,325.80","25,693.25","5.37B","-0.28%"
"11/01/2025","26,202.95","25,696.85","26,310.45","25,318.45","5.50B","1.87%"
"10/01/2025","25,722.10","24,620.55","26,104.20","24,605.95","6.24B","4.51%"
"09/01/2025","24,611.10","24,432.70","25,448.95","24,432.70","5.98B","0.75%"
"08/01/2025","24,426.85","24,734.90","25,153.65","24,337.50","5.87B","-1.38%"
"07/01/2025","24,768.35","25,551.35","25,608.10","24,598.60","6.28B","-2.93%"
"06/01/2025","25,517.05","24,669.70","25,669.35","24,473.00","7.06B","3.10%"
"05/01/2025","24,750.70","24,311.90","25,116.25","23,935.75","8.55B","1.71%"
"04/01/2025","24,334.20","23,341.10","24,457.65","21,743.65","7.66B","3.46%"
"03/01/2025","23,519.35","22,194.55","23,869.60","21,964.60","6.24B","6.30%"
"02/01/2025","22,124.70","23,528.60","23,807.30","22,104.85","5.65B","-5.89%"
"01/01/2025","23,508.40","23,637.65","24,226.70","22,786.90","6.46B","-0.58%"
"12/01/2024","23,644.80","24,140.85","24,857.75","23,460.45","5.45B","-2.02%"
"11/01/2024","24,131.10","24,302.75","24,537.60","23,263.15","5.89B","-0.31%"
"10/01/2024","24,205.35","25,788.45","25,907.60","24,073.90","6.33B","-6.22%"
"09/01/2024","25,810.85","25,333.60","26,277.35","24,753.15","6.16B","2.28%"
"08/01/2024","25,235.90","25,030.95","25,268.35","23,893.70","6.33B","1.14%"
"07/01/2024","24,951.15","23,992.95","24,999.75","23,992.70","7.09B","3.92%"
"06/01/2024","24,010.60","23,337.90","24,174.00","21,281.45","7.75B","6.57%"
"05/01/2024","22,530.70","22,567.85","23,110.80","21,821.05","6.71B","-0.33%"
"04/01/2024","22,604.85","22,455.00","22,783.35","21,777.65","6.28B","1.24%"
"03/01/2024","22,326.90","22,048.30","22,526.60","21,710.20","6.74B","1.57%"
"02/01/2024","21,982.80","21,780.65","22,297.50","21,530.20","6.73B","1.18%"
"01/01/2024","21,725.70","21,727.75","22,124.15","21,137.20","6.82B","-0.03%"
"12/01/2023","21,731.40","20,194.10","21,801.45","20,183.70","6.12B","7.94%"
"11/01/2023","20,133.15","19,064.05","20,158.70","18,973.70","4.42B","5.52%"
"10/01/2023","19,079.60","19,622.40","19,849.75","18,837.85","4.25B","-2.84%"
"09/01/2023","19,638.30","19,258.15","20,222.45","19,255.70","5.67B","2.00%"
"08/01/2023","19,253.80","19,784.00","19,795.60","19,223.65","6.25B","-2.53%"
"07/01/2023","19,753.80","19,246.50","19,991.85","19,234.40","5.80B","2.94%"
"06/01/2023","19,189.05","18,579.40","19,201.70","18,464.55","5.14B","3.53%"
"05/01/2023","18,534.40","18,124.80","18,662.45","18,042.40","5.74B","2.60%"
"04/01/2023","18,065.00","17,427.95","18,089.15","17,312.75","4.46B","4.06%"
"03/01/2023","17,359.75","17,360.10","17,799.95","16,828.35","5.62B","0.32%"
"02/01/2023","17,303.95","17,811.60","18,134.75","17,255.20","5.69B","-2.03%"
"01/01/2023","17,662.15","18,131.70","18,251.95","17,405.55","5.63B","-2.45%"
"12/01/2022","18,105.30","18,871.95","18,887.60","17,774.25","4.74B","-3.48%"
"11/01/2022","18,758.35","18,130.70","18,816.05","17,959.20","5.26B","4.14%"
"10/01/2022","18,012.20","17,102.10","18,022.80","16,855.55","4.54B","5.37%"
"09/01/2022","17,094.35","17,485.70","18,096.15","16,747.70","6.90B","-3.74%"
"08/01/2022","17,759.30","17,243.20","17,992.20","17,154.80","5.59B","3.50%"
"07/01/2022","17,158.25","15,703.70","17,172.80","15,511.05","5.48B","8.73%"
"06/01/2022","15,780.25","16,594.40","16,793.85","15,183.40","5.51B","-4.85%"
"05/01/2022","16,584.55","16,924.45","17,132.85","15,735.75","6.34B","-3.03%"
"04/01/2022","17,102.55","17,436.90","18,114.65","16,824.70","5.66B","-2.07%"
"03/01/2022","17,464.75","16,593.10","17,559.80","15,671.45","7.96B","3.99%"
